original_id,original_category,original_name,original_role,original_subtype,original_node_suggestion,original_priority,method_id,standard_name,aliases,category,role,product_form,mapping_status,merge_with_ids,node_ids,related_node_ids,algorithm_status,algorithm_evidence,node_status,kernel_ids,execution_status,parameter_status,report_status,ui_acceptance,action,batch,dependencies,next_step,clarifications,notes,review_date,source_revision
11,描述统计,基线分析,Estimator,Descriptive Statistic,Analysis Node,P0,descriptive.baseline,基线分析,,描述统计,Estimator,工作流模板,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,明确产品形态后复用/新增,B3,数据处理与统计结果表,明确基线分析的输入设计、参数、输出与参考实现后开发。,基线表的分组、变量摘要和检验选择需明确。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
12,假设检验,正态性检验,Test,Assumption/Specification Test,Test Node,P0,test.normality,正态性检验,,假设检验,Test,独立节点,有源码对应（范围见备注）,,,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,部分实现（残差检验）,src-tauri/crates/yss-sci/src/regression/diagnostics/normality.rs:89,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,旧诊断展示可参考；当前 OLS 查询未暴露本项,未执行,复用已有能力并补入口,B3,样本设计、假设与检验结果契约,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,已定位 Jarque–Bera/Omnibus 残差检验；Shapiro–Wilk 等不能据此计为实现。,残差 Jarque–Bera/Omnibus 已有算法；当前 OLS 查询没有通用正态性检验入口。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
13,假设检验,独立t检验,Test,Hypothesis Test,Test Node,P0,test.t.independent,独立t检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,新建对应样本设计与检验入口；回归约束 t 检验只作为参考工具，不计为本方法实现。,选择等方差/Welch、单双侧与缺失策略；已有回归系数 t 检验不是独立样本 t 检验。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
14,假设检验,单样本t检验,Test,Hypothesis Test,Test Node,P0,test.t.one_sample,单样本t检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,新建对应样本设计与检验入口；回归约束 t 检验只作为参考工具，不计为本方法实现。,单样本均值检验与回归系数约束检验输入不同。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
15,假设检验,配对t检验,Test,Hypothesis Test,Test Node,P0,test.t.paired,配对t检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,新建对应样本设计与检验入口；回归约束 t 检验只作为参考工具，不计为本方法实现。,配对规则、共同缺失剔除和差值方向需明确。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
16,假设检验,概要t检验,Test,Hypothesis Test,Test Node,P0,test.t.summary_input,概要t检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,新建对应样本设计与检验入口；回归约束 t 检验只作为参考工具，不计为本方法实现。,概要统计输入须明确样本量、均值、标准差及独立/配对设计。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
17,假设检验,均值z检验,Test,Categorical/Proportion Test,Test Node,P0,test.z.mean,均值z检验,,假设检验,Test,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确均值z检验的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
18,假设检验,比率z检验,Test,Categorical/Proportion Test,Test Node,P0,test.z.proportion,比率z检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确比率z检验的输入设计、参数、输出与参考实现后开发。,原名比率是否指二项比例；与两比例检验确认关系。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
19,假设检验,交叉（卡方）,Test,Categorical/Proportion Test,Test Node,P0,test.chisquare.crosstab,交叉（卡方）,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确交叉（卡方）的输入设计、参数、输出与参考实现后开发。,与 20 的范围可能重叠；明确列联表构建与独立性检验。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
20,假设检验,卡方检验,Test,Categorical/Proportion Test,Test Node,P0,test.chisquare.general,卡方检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确卡方检验的输入设计、参数、输出与参考实现后开发。,明确独立性/同质性/拟合优度子类型，再决定与 19/24 的关系。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
21,假设检验,配对卡方,Test,Categorical/Proportion Test,Test Node,P0,test.mcnemar,配对卡方,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确配对卡方的输入设计、参数、输出与参考实现后开发。,确认是否指 McNemar 及其精确版本。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
22,假设检验,分层卡方,Test,Categorical/Proportion Test,Test Node,P0,test.cmh,分层卡方,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确分层卡方的输入设计、参数、输出与参考实现后开发。,确认是否指 Cochran–Mantel–Haenszel 分层列联表检验。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
23,假设检验,Fisher卡方,Test,Categorical/Proportion Test,Test Node,P0,test.fisher_exact,Fisher卡方,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确Fisher卡方的输入设计、参数、输出与参考实现后开发。,名称建议改为 Fisher 精确检验；确认列联表维数及精确/模拟计算。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
24,假设检验,卡方拟合优度,Test,Categorical/Proportion Test,Test Node,P0,test.chisquare.goodness_of_fit,卡方拟合优度,,假设检验,Test,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确卡方拟合优度的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
25,假设检验,Poisson检验,Test,Hypothesis Test,Test Node,P0,test.poisson,Poisson检验,,假设检验,Test,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确Poisson检验的输入设计、参数、输出与参考实现后开发。,,概率分布采样节点不等同对应检验、回归或生存模型；本轮未定位直接实现。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
26,假设检验,Kappa,Test,Hypothesis Test,Test Node,P0,test.kappa,Kappa,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确Kappa的输入设计、参数、输出与参考实现后开发。,确认 Cohen/加权/多评定者 Kappa；不要与 ICC 混用。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
27,假设检验,等价检验,Test,Hypothesis Test,Test Node,P0,test.equivalence,等价检验,,假设检验,Test,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,样本设计、假设与检验结果契约,明确等价检验的输入设计、参数、输出与参考实现后开发。,与 355 是检验和样本量两个不同功能；明确等效界值与设计。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
28,相关分析,相关,Estimator,Association Measure,Analysis Node,P0,association.pearson,相关,,相关分析,Estimator,独立节点,有源码对应（范围见备注）,,yssbi.plot.correlation.view,,仅相关图形定义（统计能力待核对）,,定义存在,yssbi.plot.correlation.view,未注册,需核对传参与默认值,相关图形组件存在；生产计算未确认,未执行,补接/重构,B3,共同样本行域与相关矩阵结果,明确相关的输入设计、参数、输出与参考实现后开发。,原名相关需确认默认 Pearson 及类型支持；Spearman/Kendall 保留独立方法。,只确认相关图节点定义，未定位通用 Pearson 计算入口；相关分析和绘图需要分开。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
29,相关分析,偏相关,Estimator,Association Measure,Analysis Node,P0,association.partial,偏相关,,相关分析,Estimator,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,共同样本行域与相关矩阵结果,明确偏相关的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
30,相关分析,典型相关,Estimator,Association Measure,Analysis Node,P0,association.canonical,典型相关,,相关分析,Estimator,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,共同样本行域与相关矩阵结果,明确典型相关的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
31,相关分析,ICC组内相关系数,Estimator,Association Measure,Analysis Node,P0,association.icc,ICC组内相关系数,,相关分析,Estimator,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,共同样本行域与相关矩阵结果,明确ICC组内相关系数的输入设计、参数、输出与参考实现后开发。,确认 ICC 模型、单次/平均测量与一致性/绝对一致性定义。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
32,相关分析,Bland-Altman,Estimator,Association Measure,Analysis Node,P0,association.bland_altman,Bland-Altman,,相关分析,Estimator,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B3,共同样本行域与相关矩阵结果,明确Bland-Altman的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
33,回归模型,线性回归,Estimator,Regression Estimator,Model Node,P0,regression.ols,普通最小二乘回归（OLS）,线性回归;OLS;ordinary least squares,回归模型,Estimator,独立节点,有源码对应（范围见备注）,34,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,,实现存在（静态）,src-tauri/crates/yss-sci/src/regression/linear_model/ols/fit.rs:15;src-tauri/crates/yss-node-kernel/src/builtins/statistics.rs,定义存在,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,已注册（静态）,已贯通（静态）；Newey lag=0 的目录约束需修正,原生 OLS 报告/分页/分析查询存在；人工验收未执行,未执行,整理关联/候选合并;保留基础并整理/验收,B1,模型设计、拟合结果与推断契约,按 OLS_SPEC.md 完成此项在首批中的范围，并使用现有证据核对输入、执行与报告。,暂按 OLS 别名处理；若原需求包含其他线性模型，应保留方法族入口。,当前 Fit 与 Summary 各自拟合；首批改为 Fit 持有原生结果、Summary 消费 model。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
34,回归模型,OLS回归,Estimator,Regression Estimator,Model Node,P0,regression.ols,普通最小二乘回归（OLS）,线性回归;OLS;ordinary least squares,回归模型,Estimator,独立节点,有源码对应（范围见备注）,33,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,,实现存在（静态）,src-tauri/crates/yss-sci/src/regression/linear_model/ols/fit.rs:15;src-tauri/crates/yss-node-kernel/src/builtins/statistics.rs,定义存在,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,已注册（静态）,已贯通（静态）；Newey lag=0 的目录约束需修正,原生 OLS 报告/分页/分析查询存在；人工验收未执行,未执行,整理关联/候选合并;保留基础并整理/验收,B1,模型设计、拟合结果与推断契约,按 OLS_SPEC.md 完成此项在首批中的范围，并使用现有证据核对输入、执行与报告。,,当前 Fit 与 Summary 各自拟合；首批改为 Fit 持有原生结果、Summary 消费 model。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
35,回归模型,Robust回归,Estimator,Regression Estimator,Model Node,P0,regression.robust,Robust回归,,回归模型,Estimator,独立节点,有源码对应（范围见备注）,,,yssbi.statistics.ols.fit;yssbi.statistics.ols.summary,相关实现（稳健标准误）,src-tauri/crates/yss-sci/src/regression/covariance.rs,未发现对应内置节点,,无直接节点；已有能力范围见备注,需核对传参与默认值,需先确定方法含义,未执行,复用已有能力并补入口,B5,模型设计、拟合结果与推断契约,复核备注中的实现范围，贯通参数与结果；按批次补接节点并运行验收。,稳健回归估计器与 HC/Cluster 稳健标准误必须分开。,HC 等稳健标准误存在；Robust 回归若指稳健估计器，不能算已实现。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
36,回归模型,分层回归,Estimator,Regression Estimator,Model Node,P0,regression.hierarchical,分层回归,,回归模型,Estimator,工作流模板,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,明确产品形态后复用/新增,B5,模型设计、拟合结果与推断契约,明确分层回归的输入设计、参数、输出与参考实现后开发。,确认分块进入变量的层次回归还是多层模型，后者关联 99/263。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
37,回归模型,逐步回归,Estimator,Regression Estimator,Model Node,P0,regression.stepwise,逐步回归,,回归模型,Estimator,工作流模板,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,明确产品形态后复用/新增,B5,模型设计、拟合结果与推断契约,明确逐步回归的输入设计、参数、输出与参考实现后开发。,先规定进入/剔除准则及选择过程的报告方式。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
38,回归模型,曲线回归,Estimator,Regression Estimator,Model Node,P0,regression.curve,曲线回归,,回归模型,Estimator,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B5,模型设计、拟合结果与推断契约,明确曲线回归的输入设计、参数、输出与参考实现后开发。,明确多项式/函数变换/非线性候选族，与 39 区分。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
39,回归模型,非线性回归,Estimator,Regression Estimator,Model Node,P0,regression.nonlinear,非线性回归,,回归模型,Estimator,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B5,模型设计、拟合结果与推断契约,明确非线性回归的输入设计、参数、输出与参考实现后开发。,明确模型函数与求解器范围；与 40 的关系待确认。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
40,回归模型,非线性回归（自定义公式）,Estimator,Regression Estimator,Model Node,P0,regression.nonlinear_formula,非线性回归（自定义公式）,,回归模型,Estimator,独立节点,初步映射（范围需细化）,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B5,模型设计、拟合结果与推断契约,明确非线性回归（自定义公式）的输入设计、参数、输出与参考实现后开发。,自定义公式涉及表达式、初始值、约束与收敛诊断。,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
41,回归模型,岭回归,Estimator,Regression Estimator,Model Node,P0,regression.ridge,岭回归,,回归模型,Estimator,独立节点,初步归类,,,,未定位（本轮检索）,,未发现对应内置节点,,无直接节点入口,未核对,未定位专用报告入口,未执行,新增（先确认算法与产品范围）,B5,模型设计、拟合结果与推断契约,明确岭回归的输入设计、参数、输出与参考实现后开发。,,未定位仅表示本轮在宿主 SCI/Runtime/目录/执行及相关前端中未找到直接实现，不代表已证明缺失。,2026-09-16,ed2f321106433943f2eb1e9c0212de9c37d335ad
