node_id,title,english_title,group,kernel_id,definition_evidence,execution_status,execution_evidence,algorithm_status,algorithm_evidence,report_status,parameter_status,ui_acceptance,method_ids,action,notes,review_date,source_revision
yssbi.dataframe.decompose,拆分数据框,Decompose DataFrame,数据处理,yssbi.dataframe.decompose,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:84,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.filter.rows,筛选行,Filter Rows,数据处理,yssbi.dataframe.filter.rows,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:76,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,5;6;288,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.limit,限制数据框行数,Limit DataFrame,数据处理,yssbi.dataframe.limit,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:52,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.panel.align,对齐面板数据,Align Panel Data,数据处理,yssbi.dataframe.panel.align,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:284,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/panel.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.panel.difference,面板数据差分,Panel Difference,数据处理,yssbi.dataframe.panel.difference,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:292,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/panel.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.project,投影数据框,Project DataFrame,数据处理,yssbi.dataframe.project,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:68,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.rename,重命名数据框,Rename DataFrame,数据处理,yssbi.dataframe.rename,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:60,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,1,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.annotate_dummy,添加虚拟变量信息,Add Dummy Information,数据处理,yssbi.dataframe.series.annotate_dummy,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:236,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.equal,序列等于,DataSeries Equal,数据处理,yssbi.dataframe.series.compare.equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:188,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.greater,序列大于,DataSeries Greater Than,数据处理,yssbi.dataframe.series.compare.greater,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:156,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.greater_equal,序列大于等于,DataSeries Greater or Equal,数据处理,yssbi.dataframe.series.compare.greater_equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:172,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.less,序列小于,DataSeries Less Than,数据处理,yssbi.dataframe.series.compare.less,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:164,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.less_equal,序列小于等于,DataSeries Less or Equal,数据处理,yssbi.dataframe.series.compare.less_equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:180,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.not_equal,序列不等于,DataSeries Not Equal,数据处理,yssbi.dataframe.series.compare.not_equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:196,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.string.equal,字符串序列等于,String DataSeries Equal,数据处理,yssbi.dataframe.series.compare.string.equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:204,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.compare.string.not_equal,字符串序列不等于,String DataSeries Not Equal,数据处理,yssbi.dataframe.series.compare.string.not_equal,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:212,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,已有关系谓词基础；数列节点未接入,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,未核对,未核对,未执行,,补接,不能因标量 compare kernel 已注册而认定数列 compare 节点已接入。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.count,序列非空计数,DataSeries Count,数据处理,yssbi.dataframe.series.count,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:132,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,画像有相关聚合；专用节点未接入,src-tauri/crates/yss-datafusion/src/profile.rs,未核对,未核对,未执行,8;10,补接,列画像聚合与数列节点输入/输出契约不同；应复用关系聚合能力实现节点。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.int_range,整数序列,Integer Range,数据处理,yssbi.dataframe.series.int_range,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:116,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.inverse_standardize,逆标准化数据序列,Inverse Standardize DataSeries,数据处理,yssbi.dataframe.series.inverse_standardize,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:228,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,SCI 变换基础存在；节点未接入,src-tauri/crates/yss-sci/src/tools/standard.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.length,序列长度,DataSeries Length,数据处理,yssbi.dataframe.series.length,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:124,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,画像有相关聚合；专用节点未接入,src-tauri/crates/yss-datafusion/src/profile.rs,未核对,未核对,未执行,,补接,列画像聚合与数列节点输入/输出契约不同；应复用关系聚合能力实现节点。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.mean,序列均值,DataSeries Mean,数据处理,yssbi.dataframe.series.mean,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:148,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,画像有相关聚合；专用节点未接入,src-tauri/crates/yss-datafusion/src/profile.rs,未核对,未核对,未执行,8;10,补接,列画像聚合与数列节点输入/输出契约不同；应复用关系聚合能力实现节点。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.select,获取数据序列,Get DataSeries,数据处理,yssbi.dataframe.series.select,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:108,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.standardize,标准化数据序列,Standardize DataSeries,数据处理,yssbi.dataframe.series.standardize,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:220,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,SCI 变换基础存在；节点未接入,src-tauri/crates/yss-sci/src/tools/standard.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.series.sum,序列求和,DataSeries Sum,数据处理,yssbi.dataframe.series.sum,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:140,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,画像有相关聚合；专用节点未接入,src-tauri/crates/yss-datafusion/src/profile.rs,未核对,未核对,未执行,,补接,列画像聚合与数列节点输入/输出契约不同；应复用关系聚合能力实现节点。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.source.get,获取数据框,Get DataFrame,数据处理,yssbi.dataframe.source.get,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:44,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/relational.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,,保留并验收,关系计划/数列句柄实现存在；首批核对变量选择、行域和错误反馈。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.timeseries.align,对齐时间序列,Align Time Series,数据处理,yssbi.dataframe.timeseries.align,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:244,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/time_series/align.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.timeseries.difference,时间序列差分,Time-Series Difference,数据处理,yssbi.dataframe.timeseries.difference,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:252,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/time_series/diff.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.timeseries.lag,时间序列滞后,Lag Time Series,数据处理,yssbi.dataframe.timeseries.lag,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:276,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/time_series/lag.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.timeseries.percent_change,时间序列百分比变化,Time-Series Percent Change,数据处理,yssbi.dataframe.timeseries.percent_change,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:260,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/time_series/pct_change.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.dataframe.timeseries.rolling_mean,时间序列滚动均值,Time-Series Rolling Mean,数据处理,yssbi.dataframe.timeseries.rolling_mean,src-tauri/crates/yss-node-catalog/src/dataframe/families.rs:268,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,Runtime 数据变换存在；节点未接入,src-tauri/crates/yss-sci-runtime/src/data/time_series/rolling.rs,未核对,未核对,未执行,,补接,目录说明不代表运行实现；本表未做运行验收。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.debug.view,查看数据,View Data,基础设施,yssbi.debug.view,src-tauri/crates/yss-node-catalog/src/core_nodes/debug.rs:9,已注册（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,执行实现存在（静态）,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,结果查询基础；展示需逐项验收,定义与实现契约装配校验；未运行验收,未执行,7,保留并验收,目录说明不代表运行实现；本表未做运行验收。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.distribution.bernoulli.sample,伯努利分布采样,Bernoulli Samples,概率分布采样,yssbi.distribution.bernoulli.sample,src-tauri/crates/yss-node-catalog/src/distribution/mod.rs:303,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,采样参数已声明；种子/执行策略待设计,未执行,,补接,仅确认分布采样定义；不对应同名回归、检验或生存模型。随机种子和执行实现需补齐。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.distribution.beta.sample,贝塔分布采样,Beta Samples,概率分布采样,yssbi.distribution.beta.sample,src-tauri/crates/yss-node-catalog/src/distribution/mod.rs:116,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,采样参数已声明；种子/执行策略待设计,未执行,,补接,仅确认分布采样定义；不对应同名回归、检验或生存模型。随机种子和执行实现需补齐。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.distribution.binomial.sample,二项分布采样,Binomial Samples,概率分布采样,yssbi.distribution.binomial.sample,src-tauri/crates/yss-node-catalog/src/distribution/mod.rs:316,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,采样参数已声明；种子/执行策略待设计,未执行,,补接,仅确认分布采样定义；不对应同名回归、检验或生存模型。随机种子和执行实现需补齐。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
yssbi.distribution.cauchy.sample,柯西分布采样,Cauchy Samples,概率分布采样,yssbi.distribution.cauchy.sample,src-tauri/crates/yss-node-catalog/src/distribution/mod.rs:147,未注册,src-tauri/crates/yss-node-kernel/src/builtins/mod.rs,未定位节点专用实现,,未核对,采样参数已声明；种子/执行策略待设计,未执行,,补接,仅确认分布采样定义；不对应同名回归、检验或生存模型。随机种子和执行实现需补齐。 原清单无直接对应条目或未单列；作为基础设施/额外能力保留。,2026-09-16,working-tree@ed2f321106433943f2eb1e9c0212de9c37d335ad
